Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Month,DayOfWeek,Is_Weekend,Likes_Per_View,Shares_Per_View,Comments_Per_View,Engagement_Rate
2022-01-13,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,1,3,0,0.08152610422475132,0.012762209544744472,0.004646611571518332,9.893492534101412
2022-05-13,Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,5,4,0,0.051790930571663694,0.015847197024018635,0.00655423321799641,7.419236081367873
2022-01-07,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,1,4,0,0.0892319072742949,0.010753063585265552,0.009880227842860108,10.986519870242056
2022-12-05,YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,12,0,0,0.13848778420634653,0.012731616393467626,0.04009582210815174,19.131522270796587
2023-03-23,TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,Medium,3,3,0,2.641769185705917,1.0726883112878858,0.09829494650510283,381.27524434989056
2022-11-23,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,11,2,0,0.1029657757905537,0.06571564999403127,0.035607593425639524,20.42890192102245
2022-06-09,YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,6,3,0,0.13411443594326192,0.156198733166144,0.052050832784627084,34.2364001894033
2022-01-14,YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,1,4,0,0.15361369712698233,0.021879290875258722,0.01627472439215322,19.17677123943943
2022-09-01,Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,9,3,0,0.22865763580289308,0.04426825620193932,0.01390812634851071,28.68340183533431
2023-01-01,TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,1,6,1,0.0022147638611280983,0.017796604952205836,0.010953256528859137,3.0964625342193073
2023-08-09,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,8,2,0,0.09333243578165122,0.011304237590447167,0.006201459733505768,11.083813310560416
2023-02-26,Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,2,6,1,0.10159281012214358,0.015064977432954712,0.001962418133537331,11.862020568863562
2022-03-16,YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,3,2,0,0.04763191026222151,0.009164685454267789,0.011956447345378358,6.875304306186765
2022-11-08,YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,11,1,0,0.1916130592799209,0.028030361019341525,0.018814891473746414,23.845831177300884
2023-12-19,Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,12,1,0,0.15001355293127652,0.021891018249932236,0.006910376690576465,17.88149478717852
2022-04-05,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,4,1,0,0.040337696754107165,0.014306201810889428,0.008669697261912067,6.331359582690865
2023-07-09,Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low,7,6,1,0.722833791162207,0.06901685488520365,0.07042764608132397,86.22782921287347
2022-09-17,TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,9,5,1,0.011931211243187162,0.026670684040834853,0.020348682725437342,5.895057800945935
2022-05-08,TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,5,6,1,0.04776874996027337,0.014468295834279549,0.0056354036832802,6.7872449477833126
2023-04-24,YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low,4,0,0,0.09500364511700635,0.026947147711846184,0.011820230208541406,13.377102303739393
2023-08-15,Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,Low,8,1,0,19.035828307910606,6.420361830436325,1.2038311457963817,2666.0021284143313
2022-01-26,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,1,2,0,0.009014357841670815,0.01855873220049098,0.0010062669356840246,2.857935697784582
2023-08-02,YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,8,2,0,0.3729621218942054,0.03756631753050356,0.01757018570575858,42.80986251304675
2022-01-07,Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,1,4,0,0.10321670015794482,0.014557175084691973,0.006489437110171963,12.426331235280875
2023-07-19,YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,7,2,0,0.648877909806259,0.13448814204393214,0.004995269941434766,78.83613217916259
2022-09-08,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,9,3,0,0.040173991521568524,0.010836899951820614,0.0030333056800766634,5.40441971534658
2023-05-14,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,5,6,1,0.04858442848445732,0.004866728004284478,0.0041590566823672655,5.761021317110907
2022-05-22,YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,5,6,1,0.1721055442247459,0.019030247482310688,0.026017412161625064,21.715320386868164
2023-09-30,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,9,5,1,0.05552670131996539,0.04678013939115077,0.001706867435714342,10.40137081468305
2023-10-23,YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,10,0,0,0.06647691361609812,0.0007168053159324234,0.0010911156283630275,6.828483456039357
2022-03-22,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,3,1,0,0.11435098908582329,0.06218993816154153,0.013402360039687915,18.994328728705273
2022-03-10,Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,3,3,0,0.039255484705586,0.03824532116241389,0.018973655054340052,9.647446092233993
2022-07-08,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,7,4,0,0.0017541152697431893,0.0009040795686455562,0.009250743052952141,1.1908937891340887
2022-11-11,YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,11,4,0,0.005552112101561598,0.025940686754479733,0.005286949508983422,3.6779748365024756
2023-11-18,YouTube,#Education,Tweet,UK,936390,368646,92202,2016,Low,11,5,1,0.393688527216224,0.09846538301348796,0.002152949091724602,49.43068593214366
2023-07-01,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High,7,5,1,0.08522272922239298,0.00346104852041927,0.011056172122366897,9.973994986517914
2022-06-09,Instagram,#Music,Reel,Germany,48908,205884,37256,14618,Low,6,3,0,4.209618058395354,0.7617567678089474,0.29888770753251004,527.0262533736811
2023-07-15,Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,7,5,1,0.007891389217879546,0.005568715181822169,0.026786419265692855,4.024652366539457
2022-09-28,TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High,9,2,0,0.10434643261892586,0.019910638499324222,0.009234644062025408,13.349171518027546
2022-01-31,Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low,1,0,0,0.06088735182553863,0.01821159934969184,0.00308880856725353,8.2187759742484
2022-03-03,Twitter,#Education,Reel,India,4380015,355402,41860,42729,High,3,3,0,0.08114173124977883,0.009557044895964968,0.009755446042993004,10.04542221887368
2022-03-17,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,3,3,0,0.4271763153292099,0.01978068571489143,0.012718956534643494,45.967595757874484
2022-09-10,Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium,9,5,1,0.012535348440579025,0.023495447681278616,0.006046533467229515,4.207732958908716
2023-10-23,YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,10,0,0,0.042059874826965535,0.0044101730540730254,0.010131829714478426,5.6601877595516985
2023-03-06,Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Low,3,0,0,0.09683737902698987,0.010893861990746647,0.0066581226605445356,11.438936367828106
2023-12-13,Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High,12,2,0,1.0071384769046037,0.20590319725917738,0.06435645382205951,127.73981279858407
2023-06-02,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,6,4,0,0.20332488250177944,0.03925543528864787,0.016051372390464662,25.863169018089195
2023-11-07,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,11,1,0,0.033722920188697235,0.010907618522118691,0.016063396776203793,6.069393548701972
2023-04-29,Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High,4,5,1,0.06661229927170756,0.018270246565758687,0.007725278524999273,9.260782436246553
2022-08-15,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,8,0,0,0.15374657724686183,0.00784085235105474,0.01492000110634445,17.650743070426103
2022-05-23,YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,5,0,0,0.10812827359704356,0.03259303957959591,0.013824176309895235,15.454548948653471
2023-01-14,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,1,5,1,0.07062626688403865,0.011292923514518967,0.003810061040675778,8.57292514392334
2022-11-06,YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,Low,11,6,1,0.3479021983282395,0.06675553264351733,0.024546893986817395,43.92046249585742
2023-09-17,Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,Medium,9,6,1,0.8476539301671777,0.11003040753230003,0.11510767528935584,107.27920129888335
2023-01-13,Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High,1,4,0,0.12280676353947283,0.015110799800998949,0.007847710776486024,14.57652741169578
2023-08-25,YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,8,4,0,0.09903275509397608,0.020810975171226567,0.00837790988594383,12.822164015114648
2022-06-30,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,6,3,0,0.012080778301469334,0.018944937337555905,0.010426158428613807,4.145187406763904
2022-10-30,Twitter,#Dance,Video,Australia,197986,184395,9408,7599,Medium,10,6,1,0.9313537320820664,0.04751851140989767,0.038381501722344,101.7253745214308
2023-12-26,YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,12,1,0,0.20710009334533716,0.03661109731611427,0.002683842092332023,24.639503275378345
2023-05-31,Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,5,2,0,0.011619955110842975,0.0011688880077082506,0.007482755285452889,2.0271598404004116
2023-04-21,TikTok,#Music,Reel,USA,866896,122451,79602,25491,Low,4,4,0,0.1412522378693638,0.09182416345213266,0.0294049113157749,26.24813126372714
2023-10-24,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,10,1,0,0.0807728524668446,0.014709096158273715,0.003243729192222749,9.872567781734107
2023-02-23,TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Low,2,3,0,0.035847055535758836,0.02149616308807311,0.018742689148052945,7.608590777188488
2023-12-05,Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,12,1,0,0.18615623057187639,0.06333809094332023,1.5761407318546798e-05,24.951008292251515
2023-12-11,YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low,12,0,0,0.12058967042936215,0.008987096202810421,0.00273707726080797,13.231384389298054
2022-11-03,TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,11,3,0,0.01650213626507221,0.08609820390080249,0.05426522417632516,15.686556434219986
2023-05-26,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High,5,4,0,0.08444088067275347,0.00819632559769833,0.004405564304061181,9.704277057451298
2023-06-10,Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,6,5,1,0.07157807522157297,0.09413454424665187,0.0449317540124715,21.064437348069635
2022-01-20,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,1,3,0,0.5877209724593648,0.11610500415250259,0.0008339394439601291,70.46599160558276
2022-02-05,YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium,2,5,1,0.09964658090628326,0.01272209362660233,0.006578606468300529,11.894728100118611
2022-05-16,Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,Medium,5,0,0,0.10423648122271822,0.19031190361366324,0.09021792446219606,38.476630929857755
2022-01-19,Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low,1,2,0,0.048403854050958615,0.06910962237823316,0.025720204465588176,14.323368089477995
2022-12-07,TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium,12,2,0,0.03126169789951117,0.020389146222059507,0.009506545342343204,6.115738946391389
2022-06-12,TikTok,#Music,Post,India,3647159,216783,79133,7687,High,6,6,1,0.05943886734853073,0.02169716209246704,0.002107667913573277,8.324369735457104
2023-05-08,YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low,5,0,0,0.07170141220098222,0.0005382534190805694,0.011609017744649607,8.384868336471241
2023-05-12,Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High,5,4,0,0.08078407053339264,0.038088499634540564,0.00930766451658874,12.818023468452195
2022-05-10,Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Medium,5,1,0,0.010036863063392874,0.015039009446037855,0.015078093803761348,4.0153966313192075
2023-08-29,Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,Medium,8,1,0,0.2157432165512558,0.047894690447506834,0.06620534970959559,32.98432567083582
2022-01-27,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium,1,3,0,0.04076090047662924,0.0011951279163680624,0.0008142890185684439,4.277031741156575
2023-11-06,Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,High,11,0,0,0.060438537068218376,0.02488938690026471,0.01034082903873624,9.566875300721932
2022-07-31,Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium,7,6,1,0.0492153891079466,0.01544308322843966,0.0033412936775042163,6.799976601389048
2023-08-06,Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,Low,8,6,1,1.1901907490905004,0.07996221538634417,0.0663653730001545,133.65183374769992
2022-08-09,Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low,8,1,0,0.047339509924137574,0.0012574729172120892,0.00704258155674759,5.563956439809726
2023-03-29,Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,High,3,2,0,0.018803514196297274,0.023948418234606538,0.012938275328984578,5.5690207759888395
2023-10-28,Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Medium,10,5,1,0.024368144673508996,0.0009781315759095051,0.002978458843771365,2.832473509318987
2022-10-05,TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,10,2,0,0.057811118972521065,0.0850707416689259,0.036224936245434686,17.910679688688166
2022-12-28,Twitter,#Gaming,Post,India,1908555,194688,34182,3500,High,12,2,0,0.10200806369216502,0.01790988470334887,0.0018338481206986437,12.175179651621253
2022-12-27,Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Medium,12,1,0,0.005930840794998746,0.012267306471879982,0.009302699275827848,2.750084654270658
2022-10-08,YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,High,10,5,1,0.04688471586194179,0.003187263730522175,0.0028423026093370623,5.291428220180102
2022-03-21,YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,Low,3,0,0,0.11707043473294708,0.08125766627996082,0.04027593919654403,23.860404020945193
2023-07-12,TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,High,7,2,0,0.01095577538279384,0.0311067266014406,0.01867654830980576,6.0739050294040196
2022-07-08,Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low,7,4,0,0.01466533456909249,0.02114978587691935,0.010755089569549002,4.6570210015560844
2022-03-11,Twitter,#Gaming,Post,UK,506074,69145,31191,43362,Low,3,4,0,0.13663021613439932,0.061633278927587666,0.08568312144073792,28.39466165027249
2023-03-20,YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,High,3,0,0,0.061048322783232814,0.023492872451776902,0.0013934232168668693,8.593461845187658
2022-07-21,TikTok,#Tech,Video,Germany,128472,444670,64311,7956,Medium,7,3,0,3.461221122112211,0.5005837847935737,0.06192789090229778,402.3732797808083
2023-04-14,TikTok,#Music,Reel,India,1347102,274212,15298,28342,High,4,4,0,0.2035569689600342,0.011356229892020056,0.02103923830563684,23.595243715769108
2022-10-22,TikTok,#Tech,Live Stream,UK,92085,176687,5641,22316,Medium,10,5,1,1.918738122386925,0.061258619753488626,0.24234131508931964,222.23380572297336
2022-12-18,TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Medium,12,6,1,0.023502576793868978,0.002836710778824499,0.00798145249582676,3.432074006852024
2022-12-06,Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,12,1,0,0.2728394639576488,0.0406259422862312,0.02831288410306785,34.17782903469478
2023-05-20,YouTube,#Education,Post,Canada,3096420,364521,73308,29082,Low,5,5,1,0.11772337086054217,0.02367508283759955,0.009392136725637995,15.07905904237797
2023-10-15,YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,High,10,6,1,0.0004952428782679055,0.030073614604855657,0.004357696786538205,3.4926554269661763
2022-09-01,TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium,9,3,0,0.020653622429521026,0.036927506958773657,0.002538141013958442,6.011927040225312
2022-07-22,Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,Medium,7,4,0,0.10646548821320036,0.016671151325058007,0.0016214229564378102,12.475806249469617
2023-05-24,Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,5,2,0,0.06718450865241737,0.018118153902051185,0.008614384464517524,9.391704701898608
2023-04-17,Instagram,#Fitness,Post,Japan,13562,11483,33641,30457,Medium,4,0,0,0.8467040259548739,2.480533844565698,2.2457602123580593,557.2998082878631
2022-07-10,Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Low,7,6,1,0.07714240093145708,0.012533516894755995,0.007741514549814847,9.741743237602792
2022-06-13,YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,High,6,0,0,0.02173058596518147,0.027460107325810078,0.010158101775177189,5.934879506616873
2023-06-26,TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,Medium,6,0,0,0.08226889848417776,0.00977929045695469,0.010418069499761264,10.24662584408937
2023-10-19,Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,10,3,0,0.09347148603265228,0.00926133130966645,0.004927733457307703,10.766055079962642
2023-08-06,Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Medium,8,6,1,0.04864338685826495,0.0012045112824710781,0.006876828899172325,5.672472703990835
2022-11-15,Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,High,11,1,0,0.16616786448046447,0.020513918527475566,0.013746522155715264,20.04283051636553
2022-12-18,Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium,12,6,1,0.1555966000699083,0.044128982302771104,0.020168592320819884,21.989417469349927
2022-05-18,TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High,5,2,0,0.17194892651308127,0.04046976545939481,0.01058376419638517,22.300245616886123
