Views,Likes,Shares,Comments,Month,DayOfWeek,Is_Weekend,Likes_Per_View,Shares_Per_View,Comments_Per_View,Engagement_Rate,Platform_TikTok,Platform_Twitter,Platform_YouTube,Hashtag_#Comedy,Hashtag_#Dance,Hashtag_#Education,Hashtag_#Fashion,Hashtag_#Fitness,Hashtag_#Gaming,Hashtag_#Music,Hashtag_#Tech,Hashtag_#Viral,Content_Type_Post,Content_Type_Reel,Content_Type_Shorts,Content_Type_Tweet,Content_Type_Video,Region_Brazil,Region_Canada,Region_Germany,Region_India,Region_Japan,Region_UK,Region_USA,Engagement_Level_Encoded
4163464,339431,53135,19346,1,3,0,0.08152610422475132,0.012762209544744472,0.004646611571518332,9.893492534101412,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1
4155940,215240,65860,27239,5,4,0,0.051790930571663694,0.015847197024018635,0.00655423321799641,7.419236081367873,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
3666211,327143,39423,36223,1,4,0,0.0892319072742949,0.010753063585265552,0.009880227842860108,10.986519870242056,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1
917951,127125,11687,36806,12,0,0,0.13848778420634653,0.012731616393467626,0.04009582210815174,19.131522270796587,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
64866,171361,69581,6376,3,3,0,2.641769185705917,1.0726883112878858,0.09829494650510283,381.27524434989056,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,2
1323566,136282,86979,47129,11,2,0,0.1029657757905537,0.06571564999403127,0.035607593425639524,20.42890192102245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2
627233,84121,97973,32648,6,3,0,0.13411443594326192,0.156198733166144,0.052050832784627084,34.2364001894033,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2
2066886,317502,45222,33638,1,4,0,0.15361369712698233,0.021879290875258722,0.01627472439215322,19.17677123943943,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
2169523,496078,96041,30174,9,3,0,0.22865763580289308,0.04426825620193932,0.01390812634851071,28.68340183533431,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
3898384,8634,69378,42700,1,6,1,0.0022147638611280983,0.017796604952205836,0.010953256528859137,3.0964625342193073,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
4070332,379894,46012,25242,8,2,0,0.09333243578165122,0.011304237590447167,0.006201459733505768,11.083813310560416,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
4585669,465871,69083,8999,2,6,1,0.10159281012214358,0.015064977432954712,0.001962418133537331,11.862020568863562,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
4105651,195560,37627,49089,3,2,0,0.04763191026222151,0.009164685454267789,0.011956447345378358,6.875304306186765,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0
1633015,312907,45774,30725,11,1,0,0.1916130592799209,0.028030361019341525,0.018814891473746414,23.845831177300884,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
2471790,370802,54110,17081,12,1,0,0.15001355293127652,0.021891018249932236,0.006910376690576465,17.88149478717852,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1
3079923,124237,44062,26702,4,1,0,0.040337696754107165,0.014306201810889428,0.008669697261912067,6.331359582690865,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
294870,213142,20351,20767,7,6,1,0.722833791162207,0.06901685488520365,0.07042764608132397,86.22782921287347,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2
2051091,24472,54704,41737,9,5,1,0.011931211243187162,0.026670684040834853,0.020348682725437342,5.895057800945935,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0
3461154,165335,50077,19505,5,6,1,0.04776874996027337,0.014468295834279549,0.0056354036832802,6.7872449477833126,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0
3143932,298685,84720,37162,4,0,0,0.09500364511700635,0.026947147711846184,0.011820230208541406,13.377102303739393,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
14095,268310,90495,16968,8,1,0,19.035828307910606,6.420361830436325,1.2038311457963817,2666.0021284143313,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,2
3924406,35376,72832,3949,1,2,0,0.009014357841670815,0.01855873220049098,0.0010062669356840246,2.857935697784582,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
599766,223690,22531,10538,8,2,0,0.3729621218942054,0.03756631753050356,0.01757018570575858,42.80986251304675,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,2
